eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
89,28,29,residential,1.0,1900.0,20.0,5.073963399999999,45.364,"LINESTRING (531796.9606603468 4205969.315019035, 531780.3697145551 4206011.457490889)"
90,28,84,residential,1.0,1900.0,20.0,23.6844612,211.752,"LINESTRING (531796.9606603468 4205969.315019035, 531805.6625117719 4205932.955873777, 531797.6580623921 4205893.89099336, 531821.1720638508 4205879.991199003, 531865.548279661 4205856.819359396, 531876.1599447377 4205828.400972142, 531878.3663172448 4205816.481992518, 531879.299074062 4205811.448306446, 531888.6943326526 4205811.274155212)"
91,28,81,residential,1.0,1900.0,20.0,14.93566605,133.533,"LINESTRING (531796.9606603468 4205969.315019035, 531737.3430886283 4206015.206928954, 531716.0715222376 4206041.886508397, 531706.6611283162 4206064.129610525)"
92,29,28,residential,1.0,1900.0,20.0,5.073963399999999,45.364,"LINESTRING (531780.3697145551 4206011.457490889, 531796.9606603468 4205969.315019035)"
93,29,7,residential,1.0,1900.0,20.0,26.53540585,237.241,"LINESTRING (531780.3697145551 4206011.457490889, 531773.6345333885 4206045.605227028, 531771.5295316539 4206085.695935556, 531769.4677346183 4206119.196127189, 531773.7496888353 4206135.645116633, 531771.9318920876 4206153.81236859, 531754.8919924791 4206203.165185792, 531757.4442898213 4206210.597952733, 531752.8579464251 4206227.289851555, 531744.9653887368 4206240.784515546)"
94,29,85,residential,1.0,1900.0,20.0,17.4857342,156.332,"LINESTRING (531780.3697145551 4206011.457490889, 531793.2422188238 4205999.824081689, 531803.7048954627 4205980.248077965, 531825.4839884199 4205960.882591085, 531846.7204013856 4205947.872728979, 531855.2922037322 4205942.680196038, 531904.3568291311 4205962.177690976)"
95,30,31,residential,1.0,1900.0,20.0,12.598224750000002,112.635,"LINESTRING (531775.9759358163 4206493.24862136, 531770.3376093897 4206516.349589071, 531763.1559232528 4206548.032431283, 531743.5669284442 4206600.67072787)"
96,30,7,residential,1.0,1900.0,20.0,34.6046004,309.384,"LINESTRING (531775.9759358163 4206493.24862136, 531770.1093936809 4206471.190259848, 531752.2145374496 4206456.075269263, 531730.8252721351 4206436.486378735, 531739.7519428937 4206421.153874149, 531777.0607153036 4206397.188526027, 531787.9119050342 4206370.135681459, 531792.6051080975 4206346.287657039, 531790.6624266964 4206319.839668854, 531780.3815639168 4206308.593276797, 531769.9912902034 4206291.610131853, 531744.9653887368 4206240.784515546)"
97,30,43,residential,1.0,1900.0,20.0,11.2881257,100.922,"LINESTRING (531775.9759358163 4206493.24862136, 531786.5929921347 4206492.491054913, 531809.5571585798 4206490.838459134, 531840.1093470991 4206488.4832007, 531876.6484488142 4206484.021091078)"
98,31,14,residential,1.0,1900.0,20.0,3.71151855,33.183,"LINESTRING (531743.5669284442 4206600.67072787, 531732.9276680214 4206632.040586546)"
99,31,47,residential,1.0,1900.0,20.0,9.6027699,85.854,"LINESTRING (531743.5669284442 4206600.67072787, 531827.2333997288 4206620.601930453)"
100,31,30,residential,1.0,1900.0,20.0,12.598224750000002,112.635,"LINESTRING (531743.5669284442 4206600.67072787, 531763.1559232528 4206548.032431283, 531770.3376093897 4206516.349589071, 531775.9759358163 4206493.24862136)"
101,32,97,track,1.0,1900.0,20.0,2.986395,26.7,"LINESTRING (530672.5431882846 4205362.746466609, 530677.7110566014 4205361.423321026, 530684.6347413491 4205360.173343759, 530688.9152171792 4205359.002208946, 530691.7651261829 4205357.659272352, 530694.6128690627 4205356.893289724, 530698.4400496366 4205357.185050892)"
102,33,88,residential,1.0,1900.0,20.0,5.50201335,49.191,"LINESTRING (532050.8742622688 4206714.123335575, 532085.85399682 4206679.543004912)"
103,33,34,residential,1.0,1900.0,20.0,16.8000937,150.202,"LINESTRING (532050.8742622688 4206714.123335575, 531943.5698921442 4206751.904628529, 531917.7023835697 4206777.811238107)"
104,33,109,residential,1.0,1900.0,20.0,22.51618795,201.307,"LINESTRING (532050.8742622688 4206714.123335575, 532088.6004258514 4206731.302964084, 532121.1694999327 4206749.41669624, 532121.8856824999 4206757.053181884, 532117.4503954394 4206764.236688168, 532086.3970770574 4206780.424957451, 532050.6876523568 4206770.631721973, 532023.9656601005 4206786.016160386, 532024.2317917427 4206789.789656359)"
105,34,35,residential,1.0,1900.0,20.0,12.91185215,115.439,"LINESTRING (531917.7023835697 4206777.811238107, 531884.2237929045 4206803.699311321, 531862.6337208609 4206824.652031429, 531846.0673697668 4206836.060117777, 531826.9937220954 4206848.845398254)"
106,34,33,residential,1.0,1900.0,20.0,16.8000937,150.202,"LINESTRING (531917.7023835697 4206777.811238107, 531943.5698921442 4206751.904628529, 532050.8742622688 4206714.123335575)"
107,34,46,residential,1.0,1900.0,20.0,9.2976431,83.126,"LINESTRING (531917.7023835697 4206777.811238107, 531920.8611193547 4206823.170675715, 531924.4551204646 4206860.47652353)"
108,35,36,residential,1.0,1900.0,20.0,3.6077217500000005,32.255,"LINESTRING (531826.9937220954 4206848.845398254, 531797.3067512517 4206861.567208637)"
109,35,34,residential,1.0,1900.0,20.0,12.91185215,115.439,"LINESTRING (531826.9937220954 4206848.845398254, 531846.0673697668 4206836.060117777, 531862.6337208609 4206824.652031429, 531884.2237929045 4206803.699311321, 531917.7023835697 4206777.811238107)"
110,35,68,residential,1.0,1900.0,20.0,5.4385944,48.624,"LINESTRING (531826.9937220954 4206848.845398254, 531823.7295670751 4206861.958594074, 531820.0254107789 4206877.599839254, 531815.0030019308 4206895.865572626)"
111,36,108,residential,1.0,1900.0,20.0,4.19113135,37.471,"LINESTRING (531797.3067512517 4206861.567208637, 531766.0437535332 4206882.271718418)"
112,36,35,residential,1.0,1900.0,20.0,3.6077217500000005,32.255,"LINESTRING (531797.3067512517 4206861.567208637, 531826.9937220954 4206848.845398254)"
113,36,68,residential,1.0,1900.0,20.0,4.330272750000001,38.715,"LINESTRING (531797.3067512517 4206861.567208637, 531802.4512891757 4206870.552358568, 531807.4236550354 4206878.660301175, 531815.0030019308 4206895.865572626)"
114,36,86,residential,1.0,1900.0,20.0,5.4934009,49.114,"LINESTRING (531797.3067512517 4206861.567208637, 531785.543132243 4206832.229443985, 531787.1030503334 4206814.882236736)"
115,36,89,service,1.0,1900.0,20.0,26.3941393,235.978,"LINESTRING (531797.3067512517 4206861.567208637, 531805.8242094301 4206845.278968261, 531837.8508141285 4206815.667942054, 531889.0498982788 4206779.552267754, 531917.2631864779 4206759.901470542, 531945.0804343642 4206740.537702738, 531980.477228684 4206715.888981204)"
116,37,77,residential,1.0,1900.0,20.0,36.845067750000005,329.415,"LINESTRING (531597.8369440539 4206990.088353602, 531317.4646819783 4207163.539842591)"
117,37,108,residential,1.0,1900.0,20.0,22.329957699999998,199.642,"LINESTRING (531597.8369440539 4206990.088353602, 531766.0437535332 4206882.271718418)"
118,37,62,residential,1.0,1900.0,20.0,8.4299108,75.368,"LINESTRING (531597.8369440539 4206990.088353602, 531637.805042843 4207053.897654936)"
119,38,104,residential,1.0,1900.0,20.0,7.04353005,62.973,"LINESTRING (531086.4478729652 4207304.579089161, 531149.5444833367 4207305.174558495)"
120,38,103,residential,1.0,1900.0,20.0,6.4653774,57.804,"LINESTRING (531086.4478729652 4207304.579089161, 531136.6033014222 4207275.73337525)"
121,38,26,residential,1.0,1900.0,20.0,15.1514247,135.462,"LINESTRING (531086.4478729652 4207304.579089161, 531037.0327190085 4207300.418975571, 530951.308867458 4207291.971780743)"
122,39,40,residential,1.0,1900.0,20.0,16.02061105,143.233,"LINESTRING (532173.1916552914 4205737.805925606, 532187.9943354436 4205744.621342991, 532202.6041828271 4205751.347264077, 532239.7184370629 4205797.828153429, 532245.6458870182 4205848.757401103)"
123,39,73,residential,1.0,1900.0,20.0,15.3440304,137.184,"LINESTRING (532173.1916552914 4205737.805925606, 532180.7556784473 4205703.251248428, 532172.1269018516 4205682.657434043, 532145.7961249615 4205671.29194204, 532099.8958751993 4205693.058260101)"
124,39,66,residential,1.0,1900.0,20.0,14.141419200000003,126.43200000000002,"LINESTRING (532173.1916552914 4205737.805925606, 532157.203166709 4205753.420833581, 532120.6416723478 4205771.639967225, 532090.372591438 4205786.155908353, 532065.051060294 4205770.489608589)"
