eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
145,124,216,residential,1,1900.0,25.0,17.82197691932641,199.1727416107109,"LINESTRING (526792.7160812285 4195192.340044332, 526694.6964402744 4195329.034525667, 526676.9179913251 4195354.195973767)"
146,216,124,residential,1,1900.0,25.0,17.82197691932641,199.1727416107109,"LINESTRING (526676.9179913251 4195354.195973767, 526694.6964402744 4195329.034525667, 526792.7160812285 4195192.340044332)"
147,216,106,residential,1,1900.0,25.0,34.85129109720966,389.4869367144575,"LINESTRING (526676.9179913251 4195354.195973767, 526450.167966653 4195670.494635729)"
148,106,216,residential,1,1900.0,25.0,34.85129109720966,389.4869367144575,"LINESTRING (526450.167966653 4195670.494635729, 526676.9179913251 4195354.195973767)"
149,106,122,residential,1,1900.0,25.0,14.37371435426404,160.63605670835986,"LINESTRING (526450.167966653 4195670.494635729, 526386.1503790275 4195758.872182008, 526359.5052563148 4195802.7899111)"
150,122,106,residential,1,1900.0,25.0,14.37371435426404,160.63605670835986,"LINESTRING (526359.5052563148 4195802.7899111, 526386.1503790275 4195758.872182008, 526450.167966653 4195670.494635729)"
151,217,220,residential,1,1900.0,25.0,10.80567653952311,120.76080173807676,"LINESTRING (530560.8431586185 4195219.929904563, 530483.2168034775 4195127.495349349)"
152,220,217,residential,1,1900.0,25.0,10.80567653952311,120.76080173807676,"LINESTRING (530483.2168034775 4195127.495349349, 530560.8431586185 4195219.929904563)"
153,244,251,residential,1,1900.0,25.0,3.6540896256182527,40.83694261978378,"LINESTRING (525907.3222381277 4194273.235809686, 525889.3762533183 4194301.394081485, 525891.3935777075 4194308.512432258)"
154,251,244,residential,1,1900.0,25.0,3.6540896256182527,40.83694261978378,"LINESTRING (525891.3935777075 4194308.512432258, 525889.3762533183 4194301.394081485, 525907.3222381277 4194273.235809686)"
155,251,249,residential,1,1900.0,25.0,6.233080062951585,69.65891889753671,"LINESTRING (525891.3935777075 4194308.512432258, 525880.149978957 4194313.558521851, 525856.5315533162 4194350.608366041, 525843.5353155242 4194353.84047338)"
156,249,251,residential,1,1900.0,25.0,6.233080062951585,69.65891889753671,"LINESTRING (525843.5353155242 4194353.84047338, 525856.5315533162 4194350.608366041, 525880.149978957 4194313.558521851, 525891.3935777075 4194308.512432258)"
157,10,26,residential,1,1900.0,25.0,9.163913961470413,102.41298571156028,"LINESTRING (525451.7855779115 4194559.595285527, 525464.0341625783 4194573.302514389, 525469.1741543254 4194594.177334563, 525462.3680982389 4194620.018971364, 525451.4399782667 4194653.947273872)"
158,26,10,residential,1,1900.0,25.0,9.163913961470413,102.41298571156028,"LINESTRING (525451.4399782667 4194653.947273872, 525462.3680982389 4194620.018971364, 525469.1741543254 4194594.177334563, 525464.0341625783 4194573.302514389, 525451.7855779115 4194559.595285527)"
