Parcel,origin_osmid,dept_time,type,destin_osmid
18810019,110396428,0,local,110397253
19103233,110461563,0,local,110397253
19221124,110454526,0,local,110397253
19004231,110414475,0,local,110397253
19312139,110451170,0,local,110397253
19001121,110412690,0,local,110397253
19012109,110348357,0,local,110397253
19017120,312072227,0,local,110397253
19207121,110401288,0,local,110397253
19307402,110351008,0,local,110397253
19316226,110445895,0,local,110397253
19221212,110392602,0,local,110397253
19308214,2481944221,0,local,110397253
19218230,110392600,0,local,110397253
19303035,110414616,0,local,110397253
18814049,110396428,0,local,110397253
19018127,5071533356,0,local,110397253
19012219,110348357,0,local,110397253
19308206,110413465,0,local,110397253
19118215,110392611,0,local,110397253
19207121,110401288,0,local,110397253
19317214,110381017,0,local,110397253
19204248,110401288,0,local,110397253
19206221,110401284,0,local,110397253
19216230,110383610,0,local,110397253
19225151,110457890,0,local,110397253
19203202,110382855,0,local,110397253
19313204,110421540,0,local,110397253
19313316,110421540,0,local,110397253
18815059,110450104,0,local,110397253
19106124,110392632,0,local,110397253
19309217,110451170,0,local,110397253
19213132,110438785,0,local,110397253
19116105,110461566,0,local,110397253
19012219,110348357,0,local,110397253
19224211,110372172,0,local,110397253
19212230,110419727,0,local,110397253
19224111,110383333,0,local,110397253
19002109,110392834,0,local,110397253
19207226,110456932,0,local,110397253
19004234,110414475,0,local,110397253
19005236,110381098,0,local,110397253
19310219,110443301,0,local,110397253
19221217,110392602,0,local,110397253
18810041,110396428,0,local,110397253
19310203,110443299,0,local,110397253
19003309,110387946,0,local,110397253
18814060,110367728,0,local,110397253
19214120,110410673,0,local,110397253
19212132,110383610,0,local,110397253
19017120,312072227,0,local,110397253
19217135,110392600,0,local,110397253
19308126,110413465,0,local,110397253
19214208,110410673,0,local,110397253
19222226,110454526,0,local,110397253
19313311,110414599,0,local,110397253
19213131,110438785,0,local,110397253
19207118,110456934,0,local,110397253
